isolate_key,country_clean,isolate_clean,n_segment_records,segments_present,has_L,has_M,has_S,complete_L,complete_M,complete_S,has_all_three_segments,has_complete_LMS,segment_pattern
Kenya | ACCESSION_EU574006,Kenya,ACCESSION_EU574006,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574007,Kenya,ACCESSION_EU574007,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574008,Kenya,ACCESSION_EU574008,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574009,Kenya,ACCESSION_EU574009,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574010,Kenya,ACCESSION_EU574010,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574011,Kenya,ACCESSION_EU574011,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574012,Kenya,ACCESSION_EU574012,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574013,Kenya,ACCESSION_EU574013,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574014,Kenya,ACCESSION_EU574014,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574015,Kenya,ACCESSION_EU574015,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574016,Kenya,ACCESSION_EU574016,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574017,Kenya,ACCESSION_EU574017,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574018,Kenya,ACCESSION_EU574018,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574019,Kenya,ACCESSION_EU574019,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574020,Kenya,ACCESSION_EU574020,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_EU574021,Kenya,ACCESSION_EU574021,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
